Product Name,Item Number,Product Image,Description,Overview,Feature 1,Feature 2,Feature 3,Feature 4,CS,Size,Price,Price 1-5 Cases,Price 6-29 Cases,Price 30+ Cases,productFamily,variantLabel,sellByEach,priceBy,weight,length,width,height
128oz. Pure Bright® Germicidal Ultra Bleach,11008635042,https://res.cloudinary.com/ddx3g4yse/image/upload/pure-bright-germicidal-ultra-bleach.jpg,Size: 128 oz. | Weight: 57.5 lbs | Material: 6% Sodium Hypochlorite Formula | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Pure Bright® Germicidal Ultra Bleach for hotels, motels, resorts, and commercial facilities — An EPA registered disinfectant and sanitizer, with kill claims on 50+ pathogens including the C. Difficile Spore. Approved for use in hospital and medical facilities as well as other institutional and commercial sites. When used as directed on the product label, is an effective sanitizer against MRSA for laundry applications. An economical food contact sanitizer with NSF nonfood compounds certification. An extremely versatile product. 6% Sodium Hypochlorite. Room Ready Supply supplies this pure bright® germicidal ultra bleach in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",EPA-registered disinfectant and sanitizer,Kills 50+ pathogens including C. difficile spores,Effective against MRSA in laundry applications,NSF-certified food contact sanitizer,6,128 oz.,34.06,34.06,32.12,30.41,,,,CASE,57.5,13,13,13
19oz. Professional Lysol® Disinfectant Spray,74828,https://res.cloudinary.com/ddx3g4yse/image/upload/professional-lysol-disinfectant-spray.jpg,Size: 19 oz. | Weight: 18.6 lbs | Material: Aerosol Disinfectant Formula | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Professional Lysol® Disinfectant Spray for hotels, motels, resorts, and commercial facilities — Kills cold and flu viruses. Kills the source of mold allergens and prevents it from coming back for up to 7 days. Deodorizes by killing odor-causing bacteria at their source. Can be used on soft surfaces where bacteria can hide. Meets AOAC germicidal spray product test standards for hospital aerosol disinfectants. Kills antibiotic resistant bacteria. Germicidal, Virucidal, Fungicidal, Tuberculocidal, Bactericidal and Mildewcidal. Room Ready Supply supplies this professional lysol® disinfectant spray in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Kills cold and flu viruses,Eliminates odor-causing bacteria,Controls mold and mildew growth,Hospital-grade disinfectant performance,12,19 oz.,143.58,143.58,135.38,128.20,,,,CASE,18.6,11.5,8.5,11
32oz. Clorox® Healthcare® Bleach Germicidal Cleaner,68970,https://res.cloudinary.com/ddx3g4yse/image/upload/clorox-healthcare-bleach-germicidal-cleaner.jpg,Size: 32 oz. | Weight: 14.5 lbs | Material: Bleach-Based Germicidal Formula | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Clorox® Healthcare® Bleach Germicidal Cleaner for hotels, motels, resorts, and commercial facilities — This one step cleaner disinfectant is EPA registered to kill C. Difficile and C. auris in 3 minutes and 50 other microorganisms in 1 minute. Clean, disinfect and deodorize surfaces with an optimized formula that leaves less residue behind. Kill HAI-causing pathogens in 3 minutes or less. Proven efficacy against emerging viral pathogens, MRSA and VRE. Recommended in equipment cleaning and care guides. Room Ready Supply supplies this clorox® healthcare® bleach germicidal cleaner in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Kills C. difficile and C. auris,Cleans and disinfects in one step,Effective against MRSA and VRE,Fast-acting professional formula,6,32 oz.,94.11,94.11,88.73,84.03,,,,CASE,14.5,11.5,8.5,12.5
700ct. CloroxPro™ Clorox® Disinfecting Wipes,31547,https://res.cloudinary.com/ddx3g4yse/image/upload/cloroxprotm-clorox-disinfecting-wipes.jpg,Size: 700 ct. | Weight: 12.1 lbs | Material: Bleach-Free Disinfecting Formula | Case Quantity: ea | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale CloroxPro™ Clorox® Disinfecting Wipes for hotels, motels, resorts, and commercial facilities — EPA registered to kill 99.9% of germs on surfaces including 10 second sanitization claims against bacteria, three times faster than before. Meets EPA criteria for use against SARS-CoV-2, the virus that causes COVID-19, on non-porous surfaces. Bleach-free. Removes common allergens including pet dander, pollen particles and grass. Quickly sanitizes bacteria and kills most viruses in as little as 15 seconds. Prevents odor causing bacteria for up to 24 hours. Room Ready Supply supplies this cloroxpro™ clorox® disinfecting wipes in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Kills 99.9% of germs,Sanitizes in as little as 10 seconds,Bleach-free cleaning formula,Removes common allergens,1,700 ct.,59.54,59.54,56.14,53.16,,,,CASE,12.1,10,10,11
200ct. Sani Professional® Disinfecting Multi-Surface Wipe,P22884,https://res.cloudinary.com/ddx3g4yse/image/upload/sani-professional-disinfecting-multi-surface-wipe.jpg,Size: 200 ct. | Weight: 22 lbs | Material: Quaternary Ammonium Chloride Formula (2800 ppm) | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Sani Professional® Disinfecting Multi-Surface Wipe for hotels, motels, resorts, and commercial facilities — All the disinfecting power you need to prevent the spread of germs on high touch surfaces. Non-abrasive and lint-free. Kill germs fast without harsh bleach or alcohol. Kill 99.9% of bacteria in just 15 seconds. Proven effective against 26 organisms. Each wipe consistently delivers 2800 ppm of quaternary ammonium chloride. Featuring dual dispensing option for single or multiple wipes. Snap and close lid technology to prevent moisture loss with one tap. Works great with our Large/XL Canister wall bracket or the Sani Professional Pop-Up Floor Stand. Room Ready Supply supplies this sani professional® disinfecting multi-surface wipe in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Kills 99.9% of bacteria in 15 seconds,Alcohol and bleach free,Effective against 26 organisms,Moisture-lock lid technology,6/200,200 ct.,66.77,66.77,62.95,59.61,,,,CASE,22,17,11.5,8.5
20oz. Champion Sprayon® Vista Cleer™ Glass Cleaner,438-5155,https://res.cloudinary.com/ddx3g4yse/image/upload/champion-sprayon-vista-cleertm-glass-cleaner.jpg,Size: 20 oz. | Weight: 18 lbs | Material: Ammonia-Free Foaming Surfactant Formula | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Champion Sprayon® Vista Cleer™ Glass Cleaner for hotels, motels, resorts, and commercial facilities — A blend of surfactants. Foaming formula clings to vertical surfaces without dripping or running. Does not contain ammonia, alcohol, silicone or abrasives. Leaves no film, streaks or hazing. SprayAnyWay™ valve. Fast drying with a fresh and clean scent. Room Ready Supply supplies this champion sprayon® vista cleer™ glass cleaner in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Streak-free glass cleaning,Foaming formula clings to surfaces,No ammonia or abrasives,Fast drying performance,12/20oz,20 oz.,53.82,53.82,50.74,48.05,,,,CASE,18,10.5,8.5,12.5
19oz. Performance Plus™ Foaming Glass Cleaner,P050,https://res.cloudinary.com/ddx3g4yse/image/upload/performance-plustm-foaming-glass-cleaner.jpg,Size: 19 oz. | Weight: 19 lbs | Material: Denatured Alcohol Foaming Formula | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Performance Plus™ Foaming Glass Cleaner for hotels, motels, resorts, and commercial facilities — Cleans, brightens and polishes windows, mirrors, and other glass surfaces. Formulated for long lasting vertical cling with denatured alcohol and no ammonia. Cleans thoroughly, dries quickly, and requires no rinsing. Leaves a pleasant, fresh aroma. Room Ready Supply supplies this performance plus™ foaming glass cleaner in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Cleans windows and mirrors,Long-lasting vertical cling,No ammonia formula,No rinsing required,12/19oz,19 oz.,49.03,49.03,46.23,43.78,,,,CASE,19,11,8.5,12.5
67.6oz. Windex® Glass Indoor Blue Liquid Refill,316147,https://res.cloudinary.com/ddx3g4yse/image/upload/windex-glass-indoor-blue-liquid-refill.jpg,Size: 67.6 oz. | Weight: 29 lbs | Material: Streak-Free Glass Cleaner Formula | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Windex® Glass Indoor Blue Liquid Refill for hotels, motels, resorts, and commercial facilities — Streak-Free shine. America's #1 glass cleaner. Trusted by generations for its famous streak-free shine, cleans and shines glass, mirrors, and more. Room Ready Supply supplies this windex® glass indoor blue liquid refill in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",America's #1 glass cleaner,Delivers streak-free shine,Cleans mirrors and glass surfaces,Convenient refill format,6,67.6 oz.,59.09,59.09,55.72,52.76,,,,CASE,29,13,10,12
23oz. Windex® Original w/Trigger Sprayer,313042,https://res.cloudinary.com/ddx3g4yse/image/upload/windex-original-w-trigger-sprayer.jpg,Size: 23 oz. | Weight: 16 lbs | Material: Streak-Free Glass Cleaner Formula | Case Quantity: 8 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Windex® Original w/Trigger Sprayer for hotels, motels, resorts, and commercial facilities — Trusted glass cleaner delivering a streak-free shine on windows, mirrors and other hard surfaces. Room Ready Supply supplies this windex® original w/trigger sprayer in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Ready-to-use trigger sprayer,Streak-free cleaning performance,Fast drying formula,Ideal for mirrors and windows,8,23 oz.,49.60,49.60,46.77,44.29,,,,CASE,16,12,9,12.5
40lb. Performance Plus™ Low Suds Powder Laundry Detergent,PP40PAIL,https://res.cloudinary.com/ddx3g4yse/image/upload/performance-plustm-low-suds-powder-laundry-detergent.jpg,Size: 40 lb. | Weight: 43 lbs | Material: Low-Suds Powder Detergent Formula | Case Quantity: ea | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Performance Plus™ Low Suds Powder Laundry Detergent for hotels, motels, resorts, and commercial facilities — Powdered laundry detergent is an effective and heavy-duty laundry solution. Formulated for High-Efficiency and standard machines. Can be used in hot, warm and cold cycles. Room Ready Supply supplies this performance plus™ low suds powder laundry detergent in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Heavy-duty cleaning power,HE machine compatible,Effective in all water temperatures,Commercial-grade formula,1 Pail,40 lb.,32.87,32.87,30.99,29.35,,,,CASE,43,15,15,14
150oz. Purex® Mountain Breeze® Liquid Laundry Detergent,5016,https://res.cloudinary.com/ddx3g4yse/image/upload/purex-mountain-breeze-liquid-laundry-detergent.jpg,"Size: 150 oz. | Weight: 41 lbs | Material: Liquid Detergent, Dirt Lift Action Formula | Case Quantity: 4 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Purex® Mountain Breeze® Liquid Laundry Detergent for hotels, motels, resorts, and commercial facilities — Specially formulated with stain fighting active ingredients to go deep into fabric fibers to remove ground-in dirt and stains. Ideal for everyday use. Dirt Lift Action™. 115 loads. Room Ready Supply supplies this purex® mountain breeze® liquid laundry detergent in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Advanced stain-fighting formula,Dirt Lift Action™ technology,Deep fabric cleaning performance,Fresh Mountain Breeze® scent,4,150 oz.,77.76,77.76,73.31,69.43,,,,CASE,41,13,13,13.5
80oz. CloroxPro™ Pine-Sol® Multi-Surface Cleaner,60607,https://res.cloudinary.com/ddx3g4yse/image/upload/cloroxprotm-pine-sol-multi-surface-cleaner.jpg,Size: 80 oz. | Weight: 18.5 lbs | Material: 2X Concentrated Pine-Scented Formula | Case Quantity: 3 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale CloroxPro™ Pine-Sol® Multi-Surface Cleaner for hotels, motels, resorts, and commercial facilities — Cleans, deodorizes and disinfects in one step, killing 99.9% of germs and leaving a classic pine scent. You only need one product to fight tough dirt, grease and grime. Kills 99% of germs. No sticky residue. This 2X concentrated formula makes up to 80 gallons of ready to use cleaning solution. Room Ready Supply supplies this cloroxpro™ pine-sol® multi-surface cleaner in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.","Cleans, deodorizes, and disinfects",Kills 99.9% of germs,Concentrated professional formula,Makes up to 80 gallons of solution,3,80 oz.,55.55,55.55,52.38,49.60,,,,CASE,18.5,12,10,11.5
94ct. FINISH® Powerball® Deep Clean Dishwashing Tabs,97330,https://res.cloudinary.com/ddx3g4yse/image/upload/finish-powerball-deep-clean-dishwashing-tabs.jpg,Size: 94 ct. | Weight: 17 lbs | Material: Oxygen-Based Bleach Tab Formula | Case Quantity: 4 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale FINISH® Powerball® Deep Clean Dishwashing Tabs for hotels, motels, resorts, and commercial facilities — The revolutionary Pre-soaking Powerball helps soften the toughest food residues for easy removal. Cuts through grease for a powerful cleaning. Free from chlorine bleach. Oxygen based bleaching agents release active oxygen to hygienically clean. Breaks down protein and starch based stains. Fresh scent. Room Ready Supply supplies this finish® powerball® deep clean dishwashing tabs in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Powerball™ pre-soaking technology,Cuts through grease effectively,Oxygen-based cleaning action,Breaks down food stains,4,94 ct.,132.61,132.61,125.03,118.40,,,,CASE,17,12,10,8.5
5Gal. Dawn® Professional Manual Pot & Pan Detergent Dish Soap,70681,https://res.cloudinary.com/ddx3g4yse/image/upload/dawn-professional-manual-pot-and-pan-detergent-dish-soap.jpg,Size: 5 Gal. | Weight: 46 lbs | Material: Grease-Cutting Detergent Formula | Case Quantity: ea | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Dawn® Professional Manual Pot & Pan Detergent Dish Soap for hotels, motels, resorts, and commercial facilities — Tough on 100% of everyday commercial grease and now has 2X longer lasting suds to save time and money. Fill up to 512 sinks per case based on recommended dosage. Fill up to 128 sinks per bottle. Room Ready Supply supplies this dawn® professional manual pot & pan detergent dish soap in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Professional grease-cutting power,2X longer-lasting suds,High-yield concentrated formula,Designed for commercial kitchens,1,5 Gal.,134.05,134.05,126.39,119.69,,,,CASE,46,13,13,15
